Aircraft,Type of Traveler,Seat,Route,Date,Ratings,Recommended,Review
Boeing 777,Couple Leisure,Business Class,Barbados to London Heathrow,December 2022,[],,"""appallingly uncomfortable flights"""
A320,Business,Business Class,Glasgow to London,December 2022,[],,"""late and delayed"""
Boeing 777,Couple Leisure,Premium Economy,London to Boston,December 2022,[],"<td class=""review-value rating-yes"">yes</td>","""learned my lesson about late BA upgrades"""
A320,Solo Leisure,Business Class,London to Prague,November 2022,[],,"""No curtain between business and economy class"""
A320,Solo Leisure,Business Class,London to Marrakech,June 2022,[],"<td class=""review-value rating-yes"">yes</td>","""eventually make good on their promise"""
A320,Solo Leisure,Business Class,London to Lisbon,November 2022,[],"<td class=""review-value rating-yes"">yes</td>","""the service was excellent"""
Boeing 777,Solo Leisure,Business Class,London to Cape Town,November 2022,[],,"""lounge was overcrowded and worn out"""
Boeing 777,Solo Leisure,Business Class,London Heathrow to Nairobi,October 2022,[],,"""about as abysmal as you can get"""
A320,Solo Leisure,Business Class,Copenhagen to Heathrow,October 2022,[],"<td class=""review-value rating-yes"">yes</td>","""this flight was quite good"""
A380,Solo Leisure,Business Class,Madrid to San Francisco via London,September 2022,[],,"""Baggage took 3/4 hour to be delivered"""
Boeing 777,Couple Leisure,Business Class,Miami to London Heathrow,October 2022,[],"<td class=""review-value rating-yes"">yes</td>","""recommend BA's new Club Class"""
A380,Solo Leisure,Business Class,Dubai to London,October 2022,[],"<td class=""review-value rating-yes"">yes</td>","""Would recommend"""
Boeing 777,Solo Leisure,Business Class,Orlando to London Gatwick,October 2022,[],"<td class=""review-value rating-yes"">yes</td>","""She was attentive, warm, friendly"""
A319,Couple Leisure,Business Class,Jersey to London Heathrow,September 2022,[],"<td class=""review-value rating-yes"">yes</td>","""wait for cases at Heathrow T5"""
A320,Couple Leisure,Business Class,London Heathrow to Jersey,September 2022,[],"<td class=""review-value rating-yes"">yes</td>","""cabin crew are usually exceptional"""
A320,Solo Leisure,Business Class,London to Marrakesh,June 2022,[],,"""Some things just do not change at BA"""
A380,Family Leisure,Business Class,San Francisco to London,July 2022,[],"<td class=""review-value rating-yes"">yes</td>","""A good flight overall"""
A320,Business,Business Class,London to Malaga,June 2022,[],,"""BA standards continue to slip"""
Boeing 777,Couple Leisure,Premium Economy,Cancun to London Gatwick,June 2022,[],,"""BA are putting the 'economy' back in premium economy"""
A320,Couple Leisure,Business Class,London to Thira,June 2022,[],"<td class=""review-value rating-yes"">yes</td>","""the nicest crew I've ever had"""
A380,Solo Leisure,Business Class,Vancouver to London,June 2022,[],"<td class=""review-value rating-yes"">yes</td>","""crew made the flight outstanding"""
Boeing 777,Couple Leisure,Business Class,Johannesburg to London Heathrow,April 2022,[],"<td class=""review-value rating-yes"">yes</td>","""Crew were good but lacked the personal touch"""
A320,Couple Leisure,Business Class,Athens to London,May 2022,[],,"""no cabin divider in the aircraft"""
Boeing 777,Solo Leisure,Premium Economy,Dubai to Milan Malpensa via London,May 2022,[],"<td class=""review-value rating-yes"">yes</td>","""Staff very friendly and professional"""
A320,Couple Leisure,Business Class,Dubrovnik to London Heathrow,April 2022,[],"<td class=""review-value rating-yes"">yes</td>","""Overall a very pleasant trip"""
A320,Solo Leisure,Business Class,Pisa to London Heathrow,March 2022,[],,"""BA have no intention of resolving this"""
A319,Couple Leisure,Business Class,London to Venice,March 2022,[],"<td class=""review-value rating-yes"">yes</td>","""Service was good but food not so"""
A320,Business,Business Class,London to Barcelona,April 2022,[],,"""still no refunds 3 months on"""
Boeing 777,Couple Leisure,Business Class,Barbados to Heathrow,March 2022,[],"<td class=""review-value rating-yes"">yes</td>","""old Club Class a huge disappointment"""
A320,Business,Business Class,Geneva to London,April 2022,[],,"""Onboard 10/10, getting to be onboard 1/10"""
Boeing 777,Couple Leisure,Business Class,London to Barbados,March 2022,[],"<td class=""review-value rating-yes"">yes</td>","""stop nickel and diming"""
Boeing 777,Couple Leisure,Business Class,Cape Town to London Heathrow,March 2022,[],,"""you can and need to do better than this"""
A320,Business,Business Class,London to Malaga,March 2022,[],,"""Complete and utter chaos"""
Boeing 777,Solo Leisure,Premium Economy,Cape Town to Glasgow via London,February 2022,[],"<td class=""review-value rating-yes"">yes</td>","""First time using BA premium and likely my last"""
A320,Couple Leisure,Business Class,Lisbon to London,February 2022,[],,"""continues to go downhill"""
A320,Business,Business Class,London to Malaga,February 2022,[],,"""scrapped the mandatory wearing of face masks"""
A320,Business,Business Class,Dublin to London,February 2022,[],,"""very disengaged management model"""
Boeing 777,Couple Leisure,Business Class,Cape Town to London Heathrow,January 2022,[],"<td class=""review-value rating-yes"">yes</td>","""Performance of the flight deck was up to its usual high standard"""
Boeing 777,Couple Leisure,Business Class,London Heathrow to Orlando,January 2022,[],,"""BA has a lot to do to regain its standing"""
A319,Business,Business Class,Glasgow to London Heathrow,December 2021,[],,"""a pretty poor show by BA"""
Boeing 777,Couple Leisure,Business Class,London to Cape Town,December 2021,[],"<td class=""review-value rating-yes"">yes</td>","""seats are a huge improvement"""
A320,Solo Leisure,Business Class,London to Istanbul,December 2021,[],,"""BA hang your head in shame"""
Boeing 777,Couple Leisure,Business Class,Dubai to London Heaathrow,December 2021,[],"<td class=""review-value rating-yes"">yes</td>","""just used the new Club World"""
Boeing 777,Couple Leisure,Business Class,London Gatwick to Cancun,December 2021,[],,"""certainly make us avoid BA in future"""
A320,Business,Business Class,London Heathrow to Paris CDG,November 2021,[],,"""British Airways happy to encourage the spread of Covid"""
A320,Couple Leisure,Business Class,Lisbon to London Heathrow,September 2021,[],"<td class=""review-value rating-yes"">yes</td>","""could not have asked for better service"""
A320,Couple Leisure,Business Class,London Heathrow to Larnaca,September 2021,[],"<td class=""review-value rating-yes"">yes</td>","""Post-COVID lunch remains restricted"""
A320,Family Leisure,Business Class,London to Lisbon,September 2021,[],"<td class=""review-value rating-yes"">yes</td>","""in the air great service"""
A320,Couple Leisure,Business Class,Preveza to London,June 2021,[],"<td class=""review-value rating-yes"">yes</td>","""Service was a little perfunctory"""
A320,Couple Leisure,Business Class,London Heathrow to Preveza,May 2021,[],"<td class=""review-value rating-yes"">yes</td>","""a thoroughly reassuring, coming out of COVID, experience"""
Boeing 747-400,Couple Leisure,Business Class,Las Vegas to London Heathrow ,February 2020,[],"<td class=""review-value rating-yes"">yes</td>","""cabin crew were friendly and professional"""
Boeing 747,Solo Leisure,Business Class,Nashville to London via Chicago,March 2020,[],,"""lies and lack of informatio"""
Boeing 747-400,Business,Business Class,Chicago to London Heathrow,March 2020,[],,"""narrow business class facing seats"""
Boeing 747-400,Business,Business Class,London to New York JFK,February 2020,[],,"""airline needs major overhaul"""
A319,Business,Business Class,Paris to London,February 2020,[],,"""flights to Italy for March, all cancelled"""
Boeing 747-400,Solo Leisure,Premium Economy,Vancouver to London,February 2020,[],"<td class=""review-value rating-yes"">yes</td>","""the crew were outstanding"""
Boeing 747-400,Couple Leisure,Business Class,Las Vegas to Paris via London,February 2020,[],,"""backward facing seats"""
Boeing 747-400,Business,Business Class,San Diego to Stockholm via London,January 2020,[],,"""roller coaster of incompetence"""
A320,Couple Leisure,Business Class,Cape Town to Johannesburg,January 2020,[],"<td class=""review-value rating-yes"">yes</td>","""SLOW lounge continues to impress"""
Boeing 777,Couple Leisure,Business Class,Singapore to Paris via London,January 2020,[],,"""luggage was not loaded"""
A380,Couple Leisure,Business Class,London to Johannesburg,January 2020,[],"<td class=""review-value rating-yes"">yes</td>","""Overall a good flight"""
A320,Solo Leisure,Business Class,London Gatwick to Glasgow,January 2020,[],"<td class=""review-value rating-yes"">yes</td>","""could not fault one aspect of the service"""
A320,Business,Business Class,Gatwick to Tirana,January 2020,[],"<td class=""review-value rating-yes"">yes</td>","""disappointed by the service"""
A320,Couple Leisure,Business Class,Keflavik to London Heathrow,January 2020,[],"<td class=""review-value rating-yes"">yes</td>","""Crew very friendly"""
A380,Couple Leisure,Business Class,London to Hong Kong,December 2019,[],,"""job's worth high handed attitude"""
Boeing 747,Family Leisure,Business Class,Los Angeles to London Heathrow,January 2020,[],,"""They have the worst customer service"""
Boeing 747-400,Business,Business Class,London to San Francisco ,December 2019,[],"<td class=""review-value rating-yes"">yes</td>","""This flight was a delight"""
A380,Solo Leisure,Business Class,London to Singapore,October 2019,[],"<td class=""review-value rating-yes"">yes</td>","""You get what you pay for"""
A319,Solo Leisure,Business Class,London Heathrow to Stockholm,November 2019,[],"<td class=""review-value rating-yes"">yes</td>","""Seats the same as economy"""
A380,Couple Leisure,Business Class,Johannesburg to London,December 2019,[],"<td class=""review-value rating-yes"">yes</td>","""Overall a good flight"""
A319,Solo Leisure,Business Class,Stockholm to London Heathrow,November 2019,[],"<td class=""review-value rating-yes"">yes</td>","""excellent with service"""
Boeing 747-400,Couple Leisure,Business Class,London to New York JFK,November 2019,[],,"""utter nightmares"""
Boeing 777,Business,Business Class,Brussels to Bangkok via London,November 2019,[],,"""lacks personalized attention"""
A380,Couple Leisure,Business Class,London to Johannesburg ,November 2019,[],"<td class=""review-value rating-yes"">yes</td>","""inflight service was distinctly average"""
A320,Couple Leisure,Business Class,London Heathrow to Lisbon,November 2019,[],,"""left a great deal to be desired"""
A320,Couple Leisure,Business Class,Gatwick to Venice,September 2019,[],"<td class=""review-value rating-yes"">yes</td>","""pleased with all aspects"""
A380,Couple Leisure,Business Class,San Francisco to London,October 2019,[],"<td class=""review-value rating-yes"">yes</td>","""we had an excellent flight"""
A319,Solo Leisure,Business Class,London to Belfast,October 2019,[],"<td class=""review-value rating-yes"">yes</td>","""very happy with this short flight"""
Boeing 747-400,Business,Business Class,Vancouver to London,October 2019,[],,"""seat are surprisingly comfortable"""
Boeing 777,Couple Leisure,Premium Economy,London to Singapore,October 2019,[],,"""The seat was uncomfortable"""
Boeing 747,Couple Leisure,Business Class,Austin to London,October 2019,[],"<td class=""review-value rating-yes"">yes</td>","""Another pleasant flight"""
A320,Business,Business Class,Gatwick to Alicante,September 2019,[],"<td class=""review-value rating-yes"">yes</td>","""Club Europe had no advantages"""
A380,Solo Leisure,Premium Economy,Vancouver to London,September 2019,[],"<td class=""review-value rating-yes"">yes</td>","""Very enjoyable flight"""
Boeing 747,Couple Leisure,Business Class,London Heathrow to Austin,September 2019,[],"<td class=""review-value rating-yes"">yes</td>","""staff wonderful. cheerful, efficient"""
Boeing 747,Couple Leisure,Business Class,London Heathrow to Austin,September 2019,[],"<td class=""review-value rating-yes"">yes</td>","""it was the most enjoyable flight"""
A320,Couple Leisure,Business Class,Cephalonia to London ,September 2019,[],"<td class=""review-value rating-yes"">yes</td>","""not too bad, all in all"""
A320,Couple Leisure,Business Class,London to Kefalonia ,September 2019,[],,"""lacklustre at best"""
Boeing 747-400,Couple Leisure,Business Class,Belfast to San Francisco via London,August 2019,[],"<td class=""review-value rating-yes"">yes</td>","""inflight service was top notch"""
A320,Couple Leisure,Business Class,London to St Petersburgh,August 2019,[],,"""not worth the money"""
Boeing 777,Business,Premium Economy,Sydney to London via Singapore,May 2019,[],,"""the food was horrendous"""
A380,Couple Leisure,Business Class,London to Johannesburg,September 2019,[],,"""buyer beware"""
Boeing 747,Family Leisure,Premium Economy,Boston to Copenhagen via London,June 2019,[],,"""flight was cancelled 3 days in a row""
"
